"","variable","model","experiment","value","sd"
"160","dryso4","CESM1","shp_60p_red",-6.36147522667068e-14,2.96600574459524e-15
"161","dryso4","E3SM","shp_60p_red",-5.27112064477793e-14,2.36532469969347e-15
"162","dryso4","GISS-E2.1","shp_60p_red",-3.08766449741477e-14,1.18386256623881e-15
"163","dryso4","NorESM2","shp_60p_red",-3.88413984484367e-14,3.34520474523824e-15
"164","emibc","CAM-ATRAS","shp_60p_red",2.30254308835139e-22,1.16575940871072e-21
"165","emibc","CESM1","shp_60p_red",-1.90601749438291e-21,4.27433974937594e-21
"166","emibc","E3SM","shp_60p_red",3.06848068016509e-21,5.51543911779351e-21
"167","emibc","GFDL-ESM4","shp_60p_red",-3.11233891301726e-21,4.14545898791081e-21
"168","emibc","GISS-E2.1","shp_60p_red",1.18727825074909e-21,1.88853395957739e-22
"169","emibc","NorESM2","shp_60p_red",8.22727233996678e-23,3.42500236034942e-22
"170","emiso2","CAM-ATRAS","shp_60p_red",-5.05078305794427e-13,2.00801963315182e-14
"171","emiso2","CESM1","shp_60p_red",-5.04188511798103e-13,2.00692553484943e-14
"172","emiso2","E3SM","shp_60p_red",-5.30334669876403e-13,2.11097124647353e-14
"173","emiso2","GFDL-ESM4","shp_60p_red",-6.16663062308284e-13,3.92969374792522e-14
"174","emiso2","NorESM2","shp_60p_red",-5.37657735222733e-13,4.51036532196183e-14
"175","loadbc","CAM-ATRAS","shp_60p_red",-1.14510204261261e-10,1.45133935875299e-10
"176","loadbc","CESM1","shp_60p_red",1.77620222536931e-11,4.36598682840445e-10
"177","loadbc","E3SM","shp_60p_red",5.36306454808012e-11,2.37797320963586e-10
"178","loadbc","NorESM2","shp_60p_red",-8.35325251208143e-13,1.44866525265824e-10
"179","loadso2","CAM-ATRAS","shp_60p_red",-3.29009626008382e-08,2.80472883048669e-09
"180","loadso2","CESM1","shp_60p_red",-3.01836760619142e-08,2.17586367657213e-09
"181","loadso2","E3SM","shp_60p_red",-2.99950717144063e-08,1.27589913584659e-09
"182","loadso2","GISS-E2.1","shp_60p_red",-3.83470025364146e-08,8.93027138728063e-10
"183","loadso2","NorESM2","shp_60p_red",-1.21800952980256e-08,1.79885372905712e-09
"184","loadso4","CAM-ATRAS","shp_60p_red",-6.24111820143252e-08,4.18681227602353e-09
"185","loadso4","CESM1","shp_60p_red",-8.54036705412707e-08,7.84155914123222e-09
"186","loadso4","E3SM","shp_60p_red",-7.78835066392835e-08,4.82913965381035e-09
"187","loadso4","GFDL-ESM4","shp_60p_red",-7.8517853294989e-08,1.33698234072389e-08
"188","loadso4","GISS-E2.1","shp_60p_red",-5.55043510261633e-08,2.30858111983504e-09
"189","loadso4","NorESM2","shp_60p_red",-4.06473555739949e-08,8.32282211758622e-09
"190","mmrbc","CAM-ATRAS","shp_60p_red",-5.53850926083858e-14,4.80226963704023e-14
"191","mmrbc","CESM1","shp_60p_red",-2.14904766633097e-14,4.46152102554429e-14
"192","mmrbc","GISS-E2.1","shp_60p_red",4.06281412863661e-15,2.38718351716266e-14
"193","mmrbc","NorESM2","shp_60p_red",-1.50003771554425e-14,3.2900079186586e-14
"194","mmrso4","CAM-ATRAS","shp_60p_red",-4.01180448659557e-11,3.19064784185415e-12
"195","mmrso4","CESM1","shp_60p_red",-3.68726337931083e-11,1.64375868106785e-12
"196","mmrso4","GFDL-ESM4","shp_60p_red",-3.88675389430876e-11,2.33303536615411e-12
