"","variable","model","experiment","value","sd"
"153","drybc","GISS-E2.1","shp_60p_red",4.43158447465554e-18,4.3225723014779e-17
"154","drybc","NorESM2","shp_60p_red",6.80146183967225e-17,8.82379373088875e-17
"155","dryso2","CAM-ATRAS","shp_60p_red",-4.39889411750512e-13,1.42783074045289e-14
"156","dryso2","E3SM","shp_60p_red",-6.3927623521444e-13,2.69672898246716e-14
"157","dryso2","GFDL-ESM4","shp_60p_red",-6.91799465066677e-13,4.43603335024702e-14
"158","dryso2","GISS-E2.1","shp_60p_red",-8.46508468527778e-13,3.09378513020169e-14
"159","dryso2","NorESM2","shp_60p_red",-9.34335871817328e-13,7.63328675777327e-14
"160","dryso4","CAM-ATRAS","shp_60p_red",-1.4907366005587e-13,6.95148953856262e-15
"161","dryso4","CESM1","shp_60p_red",-1.29908991382649e-13,5.66412026761253e-15
"162","dryso4","E3SM","shp_60p_red",-1.20248620142196e-13,5.66357587152682e-15
"163","dryso4","GISS-E2.1","shp_60p_red",-7.64769025428717e-14,4.47548133098285e-15
"164","dryso4","NorESM2","shp_60p_red",-6.78542666860925e-14,6.29538304134126e-15
"165","emibc","CAM-ATRAS","shp_60p_red",6.91818568809187e-22,1.83568921526382e-21
"166","emibc","CESM1","shp_60p_red",-2.85856127685941e-21,4.3931402689001e-21
"167","emibc","E3SM","shp_60p_red",1.8836063801572e-21,1.66132370279757e-21
"168","emibc","GFDL-ESM4","shp_60p_red",7.1398572180461e-22,9.97742202181849e-21
"169","emibc","GISS-E2.1","shp_60p_red",1.6772826452472e-21,1.8625363204352e-22
"170","emibc","NorESM2","shp_60p_red",8.09886812513764e-23,4.2760201852563e-22
"171","emiso2","CAM-ATRAS","shp_60p_red",-1.21453400656306e-12,4.82843450406969e-14
"172","emiso2","CESM1","shp_60p_red",-1.1980958667842e-12,4.76885127601684e-14
"173","emiso2","E3SM","shp_60p_red",-1.28417499921377e-12,5.11166044784274e-14
"174","emiso2","GFDL-ESM4","shp_60p_red",-1.52436850335679e-12,9.80122969590356e-14
"175","emiso2","NorESM2","shp_60p_red",-1.28441383700237e-12,1.07751824904153e-13
"176","loadbc","CAM-ATRAS","shp_60p_red",-2.31039287165764e-10,3.60846300508714e-10
"177","loadbc","CESM1","shp_60p_red",3.25115981912777e-10,3.44263108623549e-10
"178","loadbc","E3SM","shp_60p_red",-1.03567968268443e-10,1.8829017030194e-10
"179","loadbc","NorESM2","shp_60p_red",2.48520893812329e-10,6.63121501537576e-10
"180","loadso2","CAM-ATRAS","shp_60p_red",-6.96435895060216e-08,4.15848440125372e-09
"181","loadso2","CESM1","shp_60p_red",-9.53549748054067e-08,3.20899138465785e-09
"182","loadso2","E3SM","shp_60p_red",-7.98560788959444e-08,3.42789027478845e-09
"183","loadso2","GISS-E2.1","shp_60p_red",-6.91603300117918e-08,1.17429907604141e-09
"184","loadso2","NorESM2","shp_60p_red",-3.11602964955269e-08,3.29496507927776e-09
"185","loadso4","CAM-ATRAS","shp_60p_red",-1.71016741383825e-07,1.18973926615188e-08
"186","loadso4","CESM1","shp_60p_red",-2.07068161454376e-07,8.84166979628967e-09
"187","loadso4","E3SM","shp_60p_red",-1.6607963315116e-07,8.64556264278874e-09
"188","loadso4","GFDL-ESM4","shp_60p_red",-1.75361302159254e-07,1.30902276584774e-08
"189","loadso4","GISS-E2.1","shp_60p_red",-1.19028583753187e-07,4.65952312123385e-09
"190","loadso4","NorESM2","shp_60p_red",-8.99203307573546e-08,1.61622827720529e-08
"191","mmrbc","CAM-ATRAS","shp_60p_red",-1.04773648996933e-13,8.86562714726776e-14
"192","mmrbc","CESM1","shp_60p_red",-2.17728348620795e-14,6.4227757044895e-14
"193","mmrbc","GISS-E2.1","shp_60p_red",1.35827980193375e-14,3.43163858221026e-14
"194","mmrbc","NorESM2","shp_60p_red",-9.05299085677384e-15,8.28485735818336e-14
"195","mmrso4","CAM-ATRAS","shp_60p_red",-9.96110630267937e-11,5.87013946854192e-12
"196","mmrso4","CESM1","shp_60p_red",-8.22935384031081e-11,3.67542174771025e-12
"197","mmrso4","GFDL-ESM4","shp_60p_red",-7.70325876379406e-11,5.35855772068965e-12
"198","mmrso4","GISS-E2.1","shp_60p_red",-6.57456657674736e-11,3.71285386955651e-12
"199","mmrso4","NorESM2","shp_60p_red",-4.07241216405682e-11,4.33766827860347e-12
"200","od550aer","CAM-ATRAS","shp_60p_red",-0.00116650282915532,0.000114046165410862
"201","od550aer","CESM1","shp_60p_red",-0.0019380894014366,0.000280726882804578
"202","od550aer","E3SM","shp_60p_red",-0.00178558434142416,0.000203188939244582
"203","od550aer","GFDL-ESM4","shp_60p_red",-0.00159619916017067,0.000346136595858535
"204","od550aer","GISS-E2.1","shp_60p_red",-0.00383909658444939,0.000279422371133991
"205","rlut","CAM-ATRAS","shp_60p_red",-0.0195803647374021,0.015477289832952
"206","rlut","CESM1","shp_60p_red",-0.178384666940531,0.0986747024369014
"207","rlut","E3SM","shp_60p_red",-0.0179096959761921,0.0213090508161358
"208","rlut","GFDL-ESM4","shp_60p_red",0.0528718411802856,0.0449062150630956
"209","rlut","GISS-E2.1","shp_60p_red",-0.0220987350478879,0.0138571892080507
"210","rlut","NorESM2","shp_60p_red",0.0298487132973719,0.0784485128429078
"211","rlutcs","CAM-ATRAS","shp_60p_red",-0.00148518641547071,0.00502625367146351
"212","rlutcs","CESM1","shp_60p_red",-0.024642996637715,0.0271714817521246
"213","rlutcs","E3SM","shp_60p_red",-0.0011755126237631,0.00794282808061492
"214","rlutcs","GFDL-ESM4","shp_60p_red",0.0154998668022131,0.00853213898856359
"215","rlutcs","GISS-E2.1","shp_60p_red",-0.00404115189700178,0.00728416292400606
"216","rlutcs","NorESM2","shp_60p_red",0.000265613143801602,0.0142616920921188
"217","rsdt","CAM-ATRAS","shp_60p_red",-4.07839024774148e-09,3.65101313643646e-07
"218","rsdt","CESM1","shp_60p_red",0,0
"219","rsdt","E3SM","shp_60p_red",0,0
"220","rsdt","GFDL-ESM4","shp_60p_red",0,0
"221","rsdt","NorESM2","shp_60p_red",-1.62743356213468e-07,2.20974807004851e-07
"222","rsut","CAM-ATRAS","shp_60p_red",0.336208123597154,0.0601155925473881
"223","rsut","CESM1","shp_60p_red",0.443065283524089,0.101677446643597
"224","rsut","E3SM","shp_60p_red",0.16056485534063,0.0664466378822125
"225","rsut","GFDL-ESM4","shp_60p_red",0.0881309375611181,0.0711481760223047
"226","rsut","GISS-E2.1","shp_60p_red",0.164484359124145,0.0771677054918024
"227","rsut","NorESM2","shp_60p_red",0.0842671131850494,0.0444943552767412
"228","rsutcs","CAM-ATRAS","shp_60p_red",0.0398763776771546,0.00359500706553977
"229","rsutcs","CESM1","shp_60p_red",0.0620529676716984,0.00761003443315055
"230","rsutcs","E3SM","shp_60p_red",0.0573095360184709,0.00449903527982168
"231","rsutcs","GFDL-ESM4","shp_60p_red",0.0406502132105715,0.00839043670466115
"232","rsutcs","GISS-E2.1","shp_60p_red",0.120377786052356,0.010385315607037
"233","rsutcs","NorESM2","shp_60p_red",0.0294762823494352,0.00758451682175798
"234","so2","CAM-ATRAS","shp_60p_red",-6.19682954593797e-11,2.4938959763356e-12
"235","so2","CESM1","shp_60p_red",-7.062812433821e-11,2.98561438242585e-12
"236","so2","GFDL-ESM4","shp_60p_red",-5.22119558208404e-11,3.30136518334788e-12
"237","so2","GISS-E2.1","shp_60p_red",-3.49261135088908e-11,1.22321071025201e-12
"238","so2","NorESM2","shp_60p_red",-4.10241266640591e-11,3.58245958189324e-12
"239","srfdms","E3SM","shp_60p_red",1.14051560665292e-13,1.18046714068229e-13
"240","wetbc","CAM-ATRAS","shp_60p_red",1.29817645527471e-16,5.67814212358506e-16
"241","wetbc","CESM1","shp_60p_red",-4.11993378223447e-16,3.91878709547685e-16
"242","wetbc","E3SM","shp_60p_red",-3.22032662524647e-16,3.16850822421729e-16
"243","wetbc","GFDL-ESM4","shp_60p_red",-3.66075351724904e-16,5.75870613949725e-16
"244","wetbc","GISS-E2.1","shp_60p_red",6.24047668412383e-17,2.45218759414264e-16
"245","wetbc","NorESM2","shp_60p_red",4.15265221413213e-17,9.31166875890685e-16
"246","wetso2","CAM-ATRAS","shp_60p_red",-1.12507004359114e-13,5.97336338703286e-15
"247","wetso2","GFDL-ESM4","shp_60p_red",-1.74004473034716e-13,1.22844001469143e-14
